match_id,home_team_id,away_team_id,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,result_home,home_team_att_strength,home_team_def_strength,away_team_att_strength,away_team_def_strength,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_team_rating_last8,home_accurate_pass_last8,home_total_pass_last8,home_blocked_scoring_att_last8,home_ontarget_scoring_att_last8,home_shot_off_target_last8,home_won_corners_last8,home_penalty_save_last8,home_total_tackle_last8,home_fk_foul_lost_last8,home_total_throws_last8,home_possession_percentage_last8,away_team_rating_last8,away_accurate_pass_last8,away_total_pass_last8,away_blocked_scoring_att_last8,away_ontarget_scoring_att_last8,away_shot_off_target_last8,away_won_corners_last8,away_penalty_save_last8,away_total_tackle_last8,away_fk_foul_lost_last8,away_total_throws_last8,away_possession_percentage_last8,home_team_att_strength_last8,home_team_def_strength_last8,away_team_att_strength_last8,away_team_def_strength_last8,home_wins_last8,away_wins_last8,home_draws_last8,away_draws_last8,home_losses_last8,away_losses_last8
1080528,32,18,7.05428571428571,488.0,561.0,2.0,7.0,2.0,2.0,0.0,27.0,10.0,17.0,52.6,6.658571428571429,495.0,583.0,8.0,6.0,10.0,6.0,0.0,13.0,8.0,25.0,64.3,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,7.05428571428571,488.0,561.0,2.0,7.0,2.0,2.0,0.0,27.0,10.0,17.0,52.6,6.658571428571429,495.0,583.0,8.0,6.0,10.0,6.0,0.0,13.0,8.0,25.0,64.3,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080529,96,167,6.74769230769231,330.0,420.0,2.0,1.0,9.0,6.0,0.0,16.0,14.0,23.0,54.4,6.7264285714285705,585.0,681.0,4.0,4.0,8.0,9.0,0.0,5.0,11.0,27.0,76.9,2.0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,6.74769230769231,330.0,420.0,2.0,1.0,9.0,6.0,0.0,16.0,14.0,23.0,54.4,6.7264285714285705,585.0,681.0,4.0,4.0,8.0,9.0,0.0,5.0,11.0,27.0,76.9,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080532,30,162,6.7738461538461605,384.0,483.0,5.0,4.0,4.0,6.0,0.0,18.0,14.0,42.0,57.5,6.670714285714281,298.0,414.0,3.0,4.0,7.0,3.0,0.0,28.0,12.0,21.0,62.3,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,1,6.7738461538461605,384.0,483.0,5.0,4.0,4.0,6.0,0.0,18.0,14.0,42.0,57.5,6.670714285714281,298.0,414.0,3.0,4.0,7.0,3.0,0.0,28.0,12.0,21.0,62.3,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080533,27,15,6.831428571428571,224.0,325.0,0.0,1.0,4.0,2.0,0.0,25.0,12.0,12.0,35.7,6.90142857142857,480.0,556.0,4.0,6.0,6.0,7.0,0.0,18.0,16.0,29.0,61.7,2.0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,6.831428571428571,224.0,325.0,0.0,1.0,4.0,2.0,0.0,25.0,12.0,12.0,35.7,6.90142857142857,480.0,556.0,4.0,6.0,6.0,7.0,0.0,18.0,16.0,29.0,61.7,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080534,175,31,7.0338461538461505,143.0,245.0,2.0,3.0,8.0,6.0,0.0,18.0,15.0,34.0,37.7,6.863571428571429,262.0,361.0,2.0,6.0,4.0,5.0,0.0,25.0,10.0,21.0,42.5,2.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,7.0338461538461505,143.0,245.0,2.0,3.0,8.0,6.0,0.0,18.0,15.0,34.0,37.7,6.863571428571429,262.0,361.0,2.0,6.0,4.0,5.0,0.0,25.0,10.0,21.0,42.5,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080531,259,214,7.32071428571429,297.0,383.0,2.0,9.0,6.0,4.0,0.0,19.0,14.0,13.0,52.5,7.15272727272727,343.0,449.0,2.0,5.0,7.0,5.0,0.0,20.0,8.0,23.0,49.7,2.0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,7.32071428571429,297.0,383.0,2.0,9.0,6.0,4.0,0.0,19.0,14.0,13.0,52.5,7.15272727272727,343.0,449.0,2.0,5.0,7.0,5.0,0.0,20.0,8.0,23.0,49.7,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080836,184,26,6.59,249.0,353.0,2.0,3.0,5.0,7.0,0.0,14.0,10.0,41.0,47.5,7.027142857142861,380.0,479.0,6.0,7.0,3.0,4.0,1.0,21.0,17.0,22.0,49.3,1.0,0.0,0.6315789473684211,2.5263157894736845,2.25,0,1,0,0,1,0,6.59,249.0,353.0,2.0,3.0,5.0,7.0,0.0,14.0,10.0,41.0,47.5,7.027142857142861,380.0,479.0,6.0,7.0,3.0,4.0,1.0,21.0,17.0,22.0,49.3,0.0,0.6315789473684211,2.5263157894736845,2.25,0,0,0,0,0,0
1080526,14,13,6.392857142857139,352.0,453.0,4.0,5.0,9.0,3.0,0.0,14.0,17.0,16.0,50.3,6.677857142857139,386.0,485.0,1.0,5.0,3.0,5.0,0.0,22.0,13.0,25.0,50.7,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.392857142857139,352.0,453.0,4.0,5.0,9.0,3.0,0.0,14.0,17.0,16.0,50.3,6.677857142857139,386.0,485.0,1.0,5.0,3.0,5.0,0.0,22.0,13.0,25.0,50.7,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080530,16,21,6.455,104.0,189.0,2.0,3.0,2.0,6.0,0.0,17.0,14.0,27.0,23.1,6.732307692307691,262.0,349.0,4.0,2.0,6.0,9.0,0.0,17.0,18.0,20.0,45.6,2.0,1.0,1.0,1.0,1.0,0,0,0,1,1,0,6.455,104.0,189.0,2.0,3.0,2.0,6.0,0.0,17.0,14.0,27.0,23.1,6.732307692307691,262.0,349.0,4.0,2.0,6.0,9.0,0.0,17.0,18.0,20.0,45.6,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080535,29,183,6.582142857142861,257.0,350.0,2.0,3.0,2.0,1.0,0.0,25.0,16.0,12.0,38.3,6.337857142857139,412.0,483.0,4.0,3.0,2.0,4.0,0.0,15.0,7.0,26.0,47.4,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.582142857142861,257.0,350.0,2.0,3.0,2.0,1.0,0.0,25.0,16.0,12.0,38.3,6.337857142857139,412.0,483.0,4.0,3.0,2.0,4.0,0.0,15.0,7.0,26.0,47.4,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080543,30,26,6.906208791208795,368.5,461.5,5.5,4.5,6.5,8.5,0.0,23.5,16.5,30.0,57.2,6.755357142857145,572.5,663.5,7.0,6.0,8.0,8.0,0.5,19.5,11.0,22.0,64.85,0.0,0.8695652173913044,0.0,1.4814814814814814,2.173913043478261,1,1,1,0,0,1,6.906208791208795,368.5,461.5,5.5,4.5,6.5,8.5,0.0,23.5,16.5,30.0,57.2,6.755357142857145,572.5,663.5,7.0,6.0,8.0,8.0,0.5,19.5,11.0,22.0,64.85,0.8695652173913044,0.0,1.4814814814814814,2.173913043478261,0,0,0,0,0,0
1080536,15,184,6.8625,484.0,558.0,3.5,5.0,6.0,6.0,0.0,17.5,13.0,24.0,62.05,6.8525,189.5,281.5,1.0,2.5,3.0,4.0,0.0,13.5,12.0,26.0,33.55,1.0,1.75,0.75,1.0,1.0,2,1,0,0,0,1,6.8625,484.0,558.0,3.5,5.0,6.0,6.0,0.0,17.5,13.0,24.0,62.05,6.8525,189.5,281.5,1.0,2.5,3.0,4.0,0.0,13.5,12.0,26.0,33.55,1.75,0.75,1.0,1.0,0,0,0,0,0,0
1080538,31,96,6.9207142857142845,374.0,470.5,1.5,6.5,4.5,4.5,0.0,20.5,10.0,17.0,54.45,6.55,296.5,390.5,2.0,2.0,6.0,6.5,0.0,19.0,13.0,25.5,48.45,1.0,0.875,0.75,0.75,0.875,1,0,1,1,0,1,6.9207142857142845,374.0,470.5,1.5,6.5,4.5,4.5,0.0,20.5,10.0,17.0,54.45,6.55,296.5,390.5,2.0,2.0,6.0,6.5,0.0,19.0,13.0,25.5,48.45,0.875,0.75,0.75,0.875,0,0,0,0,0,0
1080540,14,259,6.623214285714284,304.0,407.5,4.5,3.0,5.5,2.5,0.0,18.5,14.0,21.5,44.9,6.98321428571429,387.5,473.0,4.5,6.0,9.5,6.0,0.0,18.0,10.5,14.5,54.55,1.0,0.0,0.0,0.75,0.0,0,1,1,0,1,1,6.623214285714284,304.0,407.5,4.5,3.0,5.5,2.5,0.0,18.5,14.0,21.5,44.9,6.98321428571429,387.5,473.0,4.5,6.0,9.5,6.0,0.0,18.0,10.5,14.5,54.55,0.0,0.0,0.75,0.0,0,0,0,0,0,0
1080544,27,13,6.683928571428571,237.5,327.5,1.0,1.5,3.0,1.0,0.0,25.0,16.0,16.0,36.650000000000006,6.885714285714284,418.0,520.0,3.0,4.5,3.5,6.0,0.0,21.0,10.0,30.5,55.6,2.0,0.875,1.5,0.0,0.0,0,0,1,1,1,1,6.683928571428571,237.5,327.5,1.0,1.5,3.0,1.0,0.0,25.0,16.0,16.0,36.650000000000006,6.885714285714284,418.0,520.0,3.0,4.5,3.5,6.0,0.0,21.0,10.0,30.5,55.6,0.875,1.5,0.0,0.0,0,0,0,0,0,0
1080537,162,183,6.706428571428571,266.0,369.5,2.5,3.0,6.5,3.0,0.0,28.0,10.5,24.5,52.7,6.39785714285714,366.0,446.5,3.0,4.0,1.5,5.0,0.0,12.5,11.0,24.0,50.3,0.0,0.0,0.75,0.0,0.875,0,0,0,0,2,2,6.706428571428571,266.0,369.5,2.5,3.0,6.5,3.0,0.0,28.0,10.5,24.5,52.7,6.39785714285714,366.0,446.5,3.0,4.0,1.5,5.0,0.0,12.5,11.0,24.0,50.3,0.0,0.75,0.0,0.875,0,0,0,0,0,0
1080542,18,16,6.535714285714285,474.0,558.0,5.5,3.5,9.5,3.0,0.0,19.0,8.0,23.0,60.45,6.5553571428571455,205.5,295.0,4.5,4.0,4.0,7.0,0.0,16.5,12.5,27.0,35.0,0.0,0.875,0.75,0.75,1.75,0,0,1,0,1,2,6.535714285714285,474.0,558.0,5.5,3.5,9.5,3.0,0.0,19.0,8.0,23.0,60.45,6.5553571428571455,205.5,295.0,4.5,4.0,4.0,7.0,0.0,16.5,12.5,27.0,35.0,0.875,0.75,0.75,1.75,0,0,0,0,0,0
1080539,214,32,7.3367803030303005,352.5,454.5,3.5,4.5,5.0,4.0,0.0,23.5,9.0,23.0,46.55,7.095000000000001,414.0,484.5,1.5,6.0,4.0,3.0,0.0,19.0,10.5,23.0,48.0,2.0,1.6363636363636362,0.7941176470588235,2.3823529411764706,0.8181818181818181,2,2,0,0,0,0,7.3367803030303005,352.5,454.5,3.5,4.5,5.0,4.0,0.0,23.5,9.0,23.0,46.55,7.095000000000001,414.0,484.5,1.5,6.0,4.0,3.0,0.0,19.0,10.5,23.0,48.0,1.6363636363636362,0.7941176470588235,2.3823529411764706,0.8181818181818181,0,0,0,0,0,0
