match_id,home_team_id,away_team_id,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,result_home,home_team_att_strength,home_team_def_strength,away_team_att_strength,away_team_def_strength,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_team_rating_last5,home_accurate_pass_last5,home_total_pass_last5,home_blocked_scoring_att_last5,home_ontarget_scoring_att_last5,home_shot_off_target_last5,home_won_corners_last5,home_penalty_save_last5,home_total_tackle_last5,home_fk_foul_lost_last5,home_total_throws_last5,home_possession_percentage_last5,away_team_rating_last5,away_accurate_pass_last5,away_total_pass_last5,away_blocked_scoring_att_last5,away_ontarget_scoring_att_last5,away_shot_off_target_last5,away_won_corners_last5,away_penalty_save_last5,away_total_tackle_last5,away_fk_foul_lost_last5,away_total_throws_last5,away_possession_percentage_last5,home_team_att_strength_last5,home_team_def_strength_last5,away_team_att_strength_last5,away_team_def_strength_last5,home_wins_last5,away_wins_last5,home_draws_last5,away_draws_last5,home_losses_last5,away_losses_last5
1080528,32,18,7.05428571428571,488.0,561.0,2.0,7.0,2.0,2.0,0.0,27.0,10.0,17.0,52.6,6.658571428571429,495.0,583.0,8.0,6.0,10.0,6.0,0.0,13.0,8.0,25.0,64.3,0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,7.05428571428571,488.0,561.0,2.0,7.0,2.0,2.0,0.0,27.0,10.0,17.0,52.6,6.658571428571429,495.0,583.0,8.0,6.0,10.0,6.0,0.0,13.0,8.0,25.0,64.3,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080529,96,167,6.74769230769231,330.0,420.0,2.0,1.0,9.0,6.0,0.0,16.0,14.0,23.0,54.4,6.7264285714285705,585.0,681.0,4.0,4.0,8.0,9.0,0.0,5.0,11.0,27.0,76.9,0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,6.74769230769231,330.0,420.0,2.0,1.0,9.0,6.0,0.0,16.0,14.0,23.0,54.4,6.7264285714285705,585.0,681.0,4.0,4.0,8.0,9.0,0.0,5.0,11.0,27.0,76.9,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080532,30,162,6.7738461538461605,384.0,483.0,5.0,4.0,4.0,6.0,0.0,18.0,14.0,42.0,57.5,6.670714285714281,298.0,414.0,3.0,4.0,7.0,3.0,0.0,28.0,12.0,21.0,62.3,0,1.0,1.0,1.0,1.0,0,0,1,0,0,1,6.7738461538461605,384.0,483.0,5.0,4.0,4.0,6.0,0.0,18.0,14.0,42.0,57.5,6.670714285714281,298.0,414.0,3.0,4.0,7.0,3.0,0.0,28.0,12.0,21.0,62.3,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080533,27,15,6.831428571428571,224.0,325.0,0.0,1.0,4.0,2.0,0.0,25.0,12.0,12.0,35.7,6.90142857142857,480.0,556.0,4.0,6.0,6.0,7.0,0.0,18.0,16.0,29.0,61.7,0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,6.831428571428571,224.0,325.0,0.0,1.0,4.0,2.0,0.0,25.0,12.0,12.0,35.7,6.90142857142857,480.0,556.0,4.0,6.0,6.0,7.0,0.0,18.0,16.0,29.0,61.7,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080534,175,31,7.0338461538461505,143.0,245.0,2.0,3.0,8.0,6.0,0.0,18.0,15.0,34.0,37.7,6.863571428571429,262.0,361.0,2.0,6.0,4.0,5.0,0.0,25.0,10.0,21.0,42.5,0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,7.0338461538461505,143.0,245.0,2.0,3.0,8.0,6.0,0.0,18.0,15.0,34.0,37.7,6.863571428571429,262.0,361.0,2.0,6.0,4.0,5.0,0.0,25.0,10.0,21.0,42.5,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080531,259,214,7.32071428571429,297.0,383.0,2.0,9.0,6.0,4.0,0.0,19.0,14.0,13.0,52.5,7.15272727272727,343.0,449.0,2.0,5.0,7.0,5.0,0.0,20.0,8.0,23.0,49.7,0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,7.32071428571429,297.0,383.0,2.0,9.0,6.0,4.0,0.0,19.0,14.0,13.0,52.5,7.15272727272727,343.0,449.0,2.0,5.0,7.0,5.0,0.0,20.0,8.0,23.0,49.7,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080836,184,26,6.59,249.0,353.0,2.0,3.0,5.0,7.0,0.0,14.0,10.0,41.0,47.5,7.027142857142861,380.0,479.0,6.0,7.0,3.0,4.0,1.0,21.0,17.0,22.0,49.3,0,0.0,0.6315789473684211,2.5263157894736845,2.25,0,1,0,0,1,0,6.59,249.0,353.0,2.0,3.0,5.0,7.0,0.0,14.0,10.0,41.0,47.5,7.027142857142861,380.0,479.0,6.0,7.0,3.0,4.0,1.0,21.0,17.0,22.0,49.3,0.0,0.6315789473684211,2.5263157894736845,2.25,0,0,0,0,0,0
1080526,14,13,6.392857142857139,352.0,453.0,4.0,5.0,9.0,3.0,0.0,14.0,17.0,16.0,50.3,6.677857142857139,386.0,485.0,1.0,5.0,3.0,5.0,0.0,22.0,13.0,25.0,50.7,0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.392857142857139,352.0,453.0,4.0,5.0,9.0,3.0,0.0,14.0,17.0,16.0,50.3,6.677857142857139,386.0,485.0,1.0,5.0,3.0,5.0,0.0,22.0,13.0,25.0,50.7,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080530,16,21,6.455,104.0,189.0,2.0,3.0,2.0,6.0,0.0,17.0,14.0,27.0,23.1,6.732307692307691,262.0,349.0,4.0,2.0,6.0,9.0,0.0,17.0,18.0,20.0,45.6,0,1.0,1.0,1.0,1.0,0,0,0,1,1,0,6.455,104.0,189.0,2.0,3.0,2.0,6.0,0.0,17.0,14.0,27.0,23.1,6.732307692307691,262.0,349.0,4.0,2.0,6.0,9.0,0.0,17.0,18.0,20.0,45.6,1.0,1.0,1.0,1.0,0,0,0,0,0,0
1080535,29,183,6.582142857142861,257.0,350.0,2.0,3.0,2.0,1.0,0.0,25.0,16.0,12.0,38.3,6.337857142857139,412.0,483.0,4.0,3.0,2.0,4.0,0.0,15.0,7.0,26.0,47.4,0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.582142857142861,257.0,350.0,2.0,3.0,2.0,1.0,0.0,25.0,16.0,12.0,38.3,6.337857142857139,412.0,483.0,4.0,3.0,2.0,4.0,0.0,15.0,7.0,26.0,47.4,1.0,1.0,1.0,1.0,0,0,0,0,0,0
