,match_id,home_team_id,away_team_id,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,result_home,home_team_att_strength,home_team_def_strength,away_team_att_strength,away_team_def_strength,home_team_rating_last5,home_accurate_pass_last5,home_total_pass_last5,home_blocked_scoring_att_last5,home_ontarget_scoring_att_last5,home_shot_off_target_last5,home_won_corners_last5,home_penalty_save_last5,home_total_tackle_last5,home_fk_foul_lost_last5,home_total_throws_last5,home_possession_percentage_last5,away_team_rating_last5,away_accurate_pass_last5,away_total_pass_last5,away_blocked_scoring_att_last5,away_ontarget_scoring_att_last5,away_shot_off_target_last5,away_won_corners_last5,away_penalty_save_last5,away_total_tackle_last5,away_fk_foul_lost_last5,away_total_throws_last5,away_possession_percentage_last5,home_team_att_strength_last5,home_team_def_strength_last5,away_team_att_strength_last5,away_team_def_strength_last5
0,958472,24,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,958476,18,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,958481,29,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,958479,30,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,958478,259,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,958480,27,175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,958477,16,168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,958473,162,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,958475,167,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,958474,26,183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959737,32,23,6.914285714285715,429.5,510.5,3.5,1.5,4.0,3.0,1.0,22.5,11.0,21.5,52.2,6.4914285714285755,328.5,409.0,1.0,3.0,2.5,5.0,1.0,16.0,8.5,26.5,45.25,D,0.8695652173913044,1.0,1.0,1.7391304347826089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959725,162,24,6.9160714285714295,251.0,324.0,2.5,5.5,3.0,5.0,1.0,16.0,17.0,17.0,38.95,6.863324175824175,333.0,416.0,1.5,2.0,2.5,3.0,1.0,23.0,13.5,21.5,43.6,W,0.9130434782608695,1.3548387096774193,0.6774193548387096,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959733,14,30,7.098214285714285,203.5,292.0,3.0,6.5,5.5,5.0,1.0,22.0,12.5,18.0,37.1,6.73087912087912,399.0,493.5,3.5,5.5,2.0,3.0,1.0,21.0,13.5,29.5,51.6,D,3.652173913043478,1.3548387096774193,1.0,0.9130434782608695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959741,168,96,6.7460714285714305,388.0,480.0,5.0,6.0,6.5,3.5,1.0,17.5,10.5,28.0,59.5,6.6850000000000005,326.0,421.0,2.0,4.0,5.0,3.0,1.0,22.0,10.0,23.0,46.9,D,0.9130434782608695,2.032258064516129,1.3548387096774193,1.826086956521739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959745,16,259,6.490384615384615,307.0,414.0,1.5,3.5,3.5,4.5,1.0,25.0,12.0,22.5,49.95,7.04214285714286,454.0,517.0,6.0,8.0,4.0,6.0,1.0,20.5,13.5,24.0,56.9,D,0.9130434782608695,2.032258064516129,1.3548387096774193,1.826086956521739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959754,29,183,6.8996428571428545,362.0,456.0,3.0,3.5,2.5,6.0,1.0,18.0,10.0,28.0,54.0,6.491785714285714,378.5,467.5,3.5,2.0,6.5,7.0,1.0,18.0,15.5,30.5,51.75,L,0.9130434782608695,1.3548387096774193,1.0,0.9130434782608695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959751,175,15,6.606428571428571,230.5,306.5,1.0,1.0,5.5,5.0,1.0,20.5,11.0,14.5,33.5,6.52142857142857,357.0,438.0,3.0,3.0,4.5,2.5,1.0,18.0,14.0,21.5,51.4,L,1.0,2.0,1.0,2.5161290322580645,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959729,31,167,7.026428571428575,382.5,475.5,3.0,4.5,2.5,8.5,1.0,14.0,8.5,22.0,56.099999999999994,7.386428571428576,519.0,593.5,7.5,7.5,4.0,5.5,1.0,13.5,14.0,15.5,59.15,L,1.6363636363636362,1.2857142857142856,1.9285714285714286,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959748,27,18,7.0407142857142855,309.0,392.0,3.0,5.0,5.5,2.0,1.0,20.0,13.0,23.0,48.65,6.675851648351645,350.0,423.5,3.5,4.0,8.0,7.5,1.0,18.0,11.5,21.0,49.05,D,1.0,1.0,1.2857142857142856,1.6363636363636362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959721,13,26,6.85343406593407,479.5,560.0,8.0,6.5,6.5,5.5,1.0,19.5,12.0,19.0,60.5,7.08263736263736,390.5,485.0,4.5,2.5,6.0,5.5,1.0,21.5,13.5,20.5,53.95,D,1.0,1.3181818181818183,0.6590909090909092,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959768,23,13,6.682678571428576,313.5,395.75,1.75,2.5,3.0,5.25,1.0,16.25,9.25,25.0,44.375,7.0442032967033,500.25,587.75,7.0,6.25,7.0,6.0,1.0,22.25,9.5,19.0,61.475,L,1.8181818181818181,1.3636363636363638,1.3636363636363638,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959762,15,162,6.624464285714285,366.25,451.25,3.0,3.5,5.25,4.0,0.25,15.25,13.75,20.0,52.725,6.935357142857142,246.25,319.25,2.5,6.0,3.75,5.0,1.0,15.25,16.5,17.0,41.224999999999994,L,1.878787878787879,1.3777777777777778,2.0666666666666664,0.9393939393939394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959764,26,29,7.126675824175823,358.5,453.25,4.25,3.75,6.75,6.25,1.0,23.0,12.75,20.75,49.275,6.865714285714286,308.5,411.0,2.75,3.75,2.5,5.25,1.0,19.25,9.25,25.5,48.0,L,0.9393939393939394,1.0,1.3777777777777778,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959766,167,27,7.350535714285718,449.25,524.25,5.75,8.0,4.25,5.75,1.0,15.25,13.5,19.0,55.45,7.04186813186813,283.5,375.25,4.0,3.75,5.0,2.75,1.0,20.0,12.25,22.75,45.675,W,2.8181818181818183,1.0,1.3777777777777778,1.878787878787879,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959771,96,175,6.623214285714285,336.25,430.25,1.75,2.5,4.5,2.25,1.0,21.0,8.5,23.0,49.55,6.668035714285713,234.75,317.75,1.5,2.0,5.5,5.5,1.0,19.5,10.25,15.5,36.75,L,1.0,0.6888888888888889,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,959760,183,14,6.604464285714287,388.25,483.75,2.75,3.25,6.5,6.0,1.0,16.75,13.75,31.0,54.025000000000006,6.972321428571427,186.0,272.75,3.5,5.0,4.75,4.0,1.0,22.0,11.0,18.0,34.8,D,1.0,0.6888888888888889,1.3777777777777778,0.9393939393939394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
