match_id,home_team_id,away_team_id,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,result_home,home_team_att_strength,home_team_def_strength,away_team_att_strength,away_team_def_strength,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,home_team_rating_last8,home_accurate_pass_last8,home_total_pass_last8,home_blocked_scoring_att_last8,home_ontarget_scoring_att_last8,home_shot_off_target_last8,home_won_corners_last8,home_penalty_save_last8,home_total_tackle_last8,home_fk_foul_lost_last8,home_total_throws_last8,home_possession_percentage_last8,away_team_rating_last8,away_accurate_pass_last8,away_total_pass_last8,away_blocked_scoring_att_last8,away_ontarget_scoring_att_last8,away_shot_off_target_last8,away_won_corners_last8,away_penalty_save_last8,away_total_tackle_last8,away_fk_foul_lost_last8,away_total_throws_last8,away_possession_percentage_last8,home_team_att_strength_last8,home_team_def_strength_last8,away_team_att_strength_last8,away_team_def_strength_last8,home_wins_last8,away_wins_last8,home_draws_last8,away_draws_last8,home_losses_last8,away_losses_last8,home_player_1_last8,home_player_2_last8,home_player_3_last8,home_player_4_last8,home_player_5_last8,home_player_6_last8,home_player_7_last8,home_player_8_last8,home_player_9_last8,home_player_10_last8,home_player_11_last8,away_player_1_last8,away_player_2_last8,away_player_3_last8,away_player_4_last8,away_player_5_last8,away_player_6_last8,away_player_7_last8,away_player_8_last8,away_player_9_last8,away_player_10_last8,away_player_11_last8
958472,24,32,7.173571428571429,310.0,391.0,2.0,3.0,2.0,3.0,0.0,24.0,13.0,19.0,41.6,6.833571428571429,401.0,487.0,4.0,1.0,4.0,1.0,0.0,21.0,12.0,25.0,50.0,2.0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,7.37,8.12,6.8,8.31,8.12,7.25,7.63,7.07,6.51,6.63,6.85,7.32,7.72,7.1,7.12,7.14,6.75,6.37,6.97,6.0,7.15,6.76,7.173571428571429,310.0,391.0,2.0,3.0,2.0,3.0,0.0,24.0,13.0,19.0,41.6,6.833571428571429,401.0,487.0,4.0,1.0,4.0,1.0,0.0,21.0,12.0,25.0,50.0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,7.37,8.12,6.8,8.31,8.12,7.25,7.63,7.07,6.51,6.63,6.85,7.32,7.72,7.1,7.12,7.14,6.75,6.37,6.97,6.0,7.15,6.76
958476,18,31,7.063846153846151,309.0,389.0,3.0,4.0,7.0,6.0,0.0,18.0,12.0,19.0,43.7,6.752142857142861,451.0,558.0,2.0,5.0,3.0,8.0,0.0,14.0,7.0,30.0,66.6,2.0,1.0,1.0,1.0,1.0,0,0,1,1,0,0,6.34,6.66,6.98,7.98,7.0,6.82,7.51,7.09,6.43,8.21,7.83,6.44,7.45,6.2,7.17,6.65,7.69,7.09,7.48,6.56,6.2,7.01,7.063846153846151,309.0,389.0,3.0,4.0,7.0,6.0,0.0,18.0,12.0,19.0,43.7,6.752142857142861,451.0,558.0,2.0,5.0,3.0,8.0,0.0,14.0,7.0,30.0,66.6,1.0,1.0,1.0,1.0,0,0,1,1,0,0,6.34,6.66,6.98,7.98,7.0,6.82,7.51,7.09,6.43,8.21,7.83,6.44,7.45,6.2,7.17,6.65,7.69,7.09,7.48,6.56,6.2,7.01
958481,29,14,7.286428571428571,256.0,359.0,2.0,4.0,2.0,4.0,0.0,21.0,9.0,21.0,38.2,7.252857142857139,250.0,342.0,4.0,8.0,8.0,6.0,0.0,19.0,13.0,21.0,44.0,2.0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,8.78,7.13,6.0,7.33,7.14,7.06,7.29,7.69,7.35,7.7,8.15,6.81,6.56,6.91,6.47,6.62,7.0,9.31,10.0,7.18,8.31,7.66,7.286428571428571,256.0,359.0,2.0,4.0,2.0,4.0,0.0,21.0,9.0,21.0,38.2,7.252857142857139,250.0,342.0,4.0,8.0,8.0,6.0,0.0,19.0,13.0,21.0,44.0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,8.78,7.13,6.0,7.33,7.14,7.06,7.29,7.69,7.35,7.7,8.15,6.81,6.56,6.91,6.47,6.62,7.0,9.31,10.0,7.18,8.31,7.66
958479,30,96,6.607142857142861,391.0,487.0,3.0,4.0,2.0,2.0,0.0,26.0,12.0,24.0,50.0,6.5,301.0,412.0,2.0,1.0,4.0,3.0,0.0,25.0,9.0,25.0,47.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.0,6.66,6.5,7.78,7.34,6.95,6.38,6.67,6.16,6.3,6.76,6.52,6.81,6.81,6.98,7.03,6.0,6.01,6.61,6.52,6.39,6.07,6.607142857142861,391.0,487.0,3.0,4.0,2.0,2.0,0.0,26.0,12.0,24.0,50.0,6.5,301.0,412.0,2.0,1.0,4.0,3.0,0.0,25.0,9.0,25.0,47.0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.0,6.66,6.5,7.78,7.34,6.95,6.38,6.67,6.16,6.3,6.76,6.52,6.81,6.81,6.98,7.03,6.0,6.01,6.61,6.52,6.39,6.07
958478,259,23,6.828571428571429,322.0,399.0,5.0,10.0,2.0,8.0,0.0,22.0,16.0,22.0,48.0,6.74071428571429,396.0,485.0,2.0,4.0,3.0,6.0,0.0,13.0,9.0,34.0,56.3,1.0,1.0,1.0,1.0,1.0,0,0,1,1,0,0,6.33,6.73,6.4,6.54,6.62,7.14,7.26,8.0,6.55,7.45,7.72,6.38,6.66,7.04,7.26,6.72,6.95,6.97,7.23,6.27,7.27,7.56,6.828571428571429,322.0,399.0,5.0,10.0,2.0,8.0,0.0,22.0,16.0,22.0,48.0,6.74071428571429,396.0,485.0,2.0,4.0,3.0,6.0,0.0,13.0,9.0,34.0,56.3,1.0,1.0,1.0,1.0,0,0,1,1,0,0,6.33,6.73,6.4,6.54,6.62,7.14,7.26,8.0,6.55,7.45,7.72,6.38,6.66,7.04,7.26,6.72,6.95,6.97,7.23,6.27,7.27,7.56
958480,27,175,7.15142857142857,200.0,286.0,3.0,5.0,3.0,2.0,0.0,25.0,13.0,14.0,33.4,6.306428571428571,267.0,328.0,1.0,2.0,6.0,6.0,0.0,17.0,12.0,16.0,30.9,0.0,1.0,1.0,1.0,1.0,0,0,1,0,0,1,7.28,6.9,7.52,8.22,7.54,6.42,7.59,7.05,7.89,6.51,7.11,6.74,6.0,6.0,6.16,6.84,6.66,6.1,6.02,6.38,6.1,5.99,7.15142857142857,200.0,286.0,3.0,5.0,3.0,2.0,0.0,25.0,13.0,14.0,33.4,6.306428571428571,267.0,328.0,1.0,2.0,6.0,6.0,0.0,17.0,12.0,16.0,30.9,1.0,1.0,1.0,1.0,0,0,1,0,0,1,7.28,6.9,7.52,8.22,7.54,6.42,7.59,7.05,7.89,6.51,7.11,6.74,6.0,6.0,6.16,6.84,6.66,6.1,6.02,6.38,6.1,5.99
958477,16,168,6.51923076923077,347.0,442.0,2.0,5.0,4.0,3.0,0.0,19.0,17.0,25.0,56.0,6.407142857142861,388.0,470.0,2.0,6.0,9.0,1.0,0.0,20.0,14.0,23.0,62.9,2.0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.88,6.05,5.87,6.33,5.91,6.71,6.0,6.67,5.07,7.34,7.33,6.63,6.56,6.62,6.4,6.62,6.63,6.23,5.98,7.06,6.73,6.04,6.51923076923077,347.0,442.0,2.0,5.0,4.0,3.0,0.0,19.0,17.0,25.0,56.0,6.407142857142861,388.0,470.0,2.0,6.0,9.0,1.0,0.0,20.0,14.0,23.0,62.9,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.88,6.05,5.87,6.33,5.91,6.71,6.0,6.67,5.07,7.34,7.33,6.63,6.56,6.62,6.4,6.62,6.63,6.23,5.98,7.06,6.73,6.04
958473,162,13,7.122857142857139,200.0,272.0,2.0,7.0,2.0,4.0,0.0,14.0,20.0,19.0,37.1,6.646153846153849,481.0,556.0,9.0,6.0,7.0,5.0,0.0,12.0,12.0,18.0,61.8,2.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,6.56,7.18,7.28,7.55,7.77,7.91,7.57,6.23,8.28,7.55,6.11,5.04,6.75,7.18,6.0,6.96,6.67,6.96,6.35,7.57,6.42,6.78,7.122857142857139,200.0,272.0,2.0,7.0,2.0,4.0,0.0,14.0,20.0,19.0,37.1,6.646153846153849,481.0,556.0,9.0,6.0,7.0,5.0,0.0,12.0,12.0,18.0,61.8,1.0,1.0,1.0,1.0,1,0,0,0,0,1,6.56,7.18,7.28,7.55,7.77,7.91,7.57,6.23,8.28,7.55,6.11,5.04,6.75,7.18,6.0,6.96,6.67,6.96,6.35,7.57,6.42,6.78
958475,167,15,7.36071428571429,693.0,764.0,11.0,7.0,2.0,6.0,0.0,10.0,9.0,12.0,69.1,6.667857142857139,347.0,433.0,3.0,3.0,5.0,4.0,0.0,16.0,15.0,24.0,52.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,7.33,7.37,8.23,7.75,7.83,7.34,7.12,8.08,7.18,9.14,6.11,7.4,6.36,7.28,6.97,7.06,7.12,6.67,6.0,6.76,6.22,6.62,7.36071428571429,693.0,764.0,11.0,7.0,2.0,6.0,0.0,10.0,9.0,12.0,69.1,6.667857142857139,347.0,433.0,3.0,3.0,5.0,4.0,0.0,16.0,15.0,24.0,52.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,7.33,7.37,8.23,7.75,7.83,7.34,7.12,8.08,7.18,9.14,6.11,7.4,6.36,7.28,6.97,7.06,7.12,6.67,6.0,6.76,6.22,6.62
958474,26,183,7.013846153846151,378.0,478.0,4.0,3.0,1.0,5.0,0.0,19.0,16.0,22.0,53.0,6.428571428571429,464.0,548.0,2.0,2.0,7.0,6.0,0.0,14.0,13.0,30.0,58.4,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,6.97,7.37,7.4,7.46,7.86,6.99,7.86,6.24,7.11,6.59,6.69,6.56,6.79,6.64,7.06,6.87,6.0,6.09,7.01,6.34,6.01,5.89,7.013846153846151,378.0,478.0,4.0,3.0,1.0,5.0,0.0,19.0,16.0,22.0,53.0,6.428571428571429,464.0,548.0,2.0,2.0,7.0,6.0,0.0,14.0,13.0,30.0,58.4,1.0,1.0,1.0,1.0,1,0,0,0,0,1,6.97,7.37,7.4,7.46,7.86,6.99,7.86,6.24,7.11,6.59,6.69,6.56,6.79,6.64,7.06,6.87,6.0,6.09,7.01,6.34,6.01,5.89
