,match_id,date_string,home_team_id,away_team_id,half_time_score,full_time_score,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away,result_home
0,1190205,2017-08-27 13:30:00,175,96,0 : 0,1 : 1,6.45928571428571,239,314,0,2,8,10,0,17,10,21,42.8,6.88846153846154,380,438,5,2,9,4,0,20,9,19,57.2,0,0,1,1,0.0
0,1190218,2017-08-27 13:30:00,15,31,2 : 0,2 : 0,7.11071428571429,500,583,7,7,4,6,0,14,12,26,56.7,6.36571428571429,355,437,2,0,5,3,0,17,7,20,43.3,2,0,2,0,1.0
0,1190201,2017-08-27 16:00:00,30,184,0 : 0,1 : 1,6.68214285714286,503,588,17,5,6,10,0,9,9,14,67.3,6.89928571428571,193,272,2,3,8,7,0,16,9,13,32.7,0,0,1,1,0.0
0,1190195,2017-08-27 16:00:00,26,13,2 : 0,4 : 0,7.535,411,507,3,10,5,4,0,19,6,17,48.6,6.03142857142857,438,539,2,0,6,3,0,13,9,18,51.4,2,0,4,0,1.0
0,1190223,2017-09-09 12:30:00,167,26,2 : 0,5 : 0,7.66642857142857,658,730,0,10,3,8,0,14,10,21,66.1,5.99642857142857,288,372,2,3,2,3,0,15,9,17,33.9,2,0,5,0,1.0
0,1190225,2017-09-09 15:00:00,18,27,0 : 1,0 : 2,6.26571428571429,304,423,5,1,3,7,0,19,8,32,52.7,7.27142857142857,276,384,4,3,5,4,0,19,11,26,47.3,0,1,0,2,-1.0
0,1190220,2017-09-09 15:00:00,14,15,0 : 1,1 : 2,6.50357142857143,259,347,3,2,3,2,0,18,11,23,40.4,6.93785714285714,434,521,5,6,5,9,0,20,8,17,59.6,0,1,1,2,-1.0
0,1190208,2017-09-09 15:00:00,13,183,2 : 0,3 : 0,7.41142857142857,464,583,4,9,4,10,0,16,14,26,58.4,6.30214285714286,291,401,0,2,5,3,0,11,10,27,41.6,2,0,3,0,1.0
0,1190211,2017-09-09 15:00:00,211,175,1 : 0,3 : 1,7.18,363,448,3,6,3,2,0,17,9,16,48.6,6.415,377,461,3,3,6,6,0,8,4,28,51.4,1,0,3,1,1.0
0,1190217,2017-09-09 15:00:00,31,30,0 : 2,0 : 3,6.23285714285714,375,464,6,1,5,7,0,17,14,19,50.7,7.31071428571429,367,458,3,6,6,3,0,13,14,22,49.3,0,2,0,3,-1.0
