match_id,home_team_id,away_team_id,home_team_rating,home_accurate_pass,home_total_pass,home_blocked_scoring_att,home_ontarget_scoring_att,home_shot_off_target,home_won_corners,home_penalty_save,home_total_tackle,home_fk_foul_lost,home_total_throws,home_possession_percentage,away_team_rating,away_accurate_pass,away_total_pass,away_blocked_scoring_att,away_ontarget_scoring_att,away_shot_off_target,away_won_corners,away_penalty_save,away_total_tackle,away_fk_foul_lost,away_total_throws,away_possession_percentage,result_home,home_team_att_strength,home_team_def_strength,away_team_att_strength,away_team_def_strength,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,home_team_rating_last5,home_accurate_pass_last5,home_total_pass_last5,home_blocked_scoring_att_last5,home_ontarget_scoring_att_last5,home_shot_off_target_last5,home_won_corners_last5,home_penalty_save_last5,home_total_tackle_last5,home_fk_foul_lost_last5,home_total_throws_last5,home_possession_percentage_last5,away_team_rating_last5,away_accurate_pass_last5,away_total_pass_last5,away_blocked_scoring_att_last5,away_ontarget_scoring_att_last5,away_shot_off_target_last5,away_won_corners_last5,away_penalty_save_last5,away_total_tackle_last5,away_fk_foul_lost_last5,away_total_throws_last5,away_possession_percentage_last5,home_team_att_strength_last5,home_team_def_strength_last5,away_team_att_strength_last5,away_team_def_strength_last5,home_wins_last5,away_wins_last5,home_draws_last5,away_draws_last5,home_losses_last5,away_losses_last5,home_player_1_last5,home_player_2_last5,home_player_3_last5,home_player_4_last5,home_player_5_last5,home_player_6_last5,home_player_7_last5,home_player_8_last5,home_player_9_last5,home_player_10_last5,home_player_11_last5,away_player_1_last5,away_player_2_last5,away_player_3_last5,away_player_4_last5,away_player_5_last5,away_player_6_last5,away_player_7_last5,away_player_8_last5,away_player_9_last5,away_player_10_last5,away_player_11_last5
1190206,259,32,6.668571428571429,284.0,365.0,2.0,0.0,2.0,0.0,0.0,11.0,13.0,15.0,40.4,7.677857142857139,417.0,493.0,8.0,5.0,8.0,11.0,0.0,14.0,19.0,21.0,55.4,2.0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,7.24,6.26,7.43,7.02,6.87,7.01,6.0,6.36,7.58,6.38,6.41,7.03,7.74,7.5,6.91,7.83,9.13,7.78,7.27,9.06,8.3,8.97,6.668571428571429,284.0,365.0,2.0,0.0,2.0,0.0,0.0,11.0,13.0,15.0,40.4,7.677857142857139,417.0,493.0,8.0,5.0,8.0,11.0,0.0,14.0,19.0,21.0,55.4,1.0,1.0,1.0,1.0,0,1,1,0,0,0,7.24,6.26,7.43,7.02,6.87,7.01,6.0,6.36,7.58,6.38,6.41,7.03,7.74,7.5,6.91,7.83,9.13,7.78,7.27,9.06,8.3,8.97
1190459,18,29,6.833571428571429,432.0,518.0,11.0,2.0,16.0,13.0,0.0,12.0,10.0,26.0,59.6,6.077857142857139,316.0,397.0,2.0,1.0,6.0,1.0,0.0,21.0,7.0,13.0,44.6,1.0,0.0,0.0,0.0,2.9333333333333336,0,0,1,0,0,1,6.52,7.17,6.88,7.37,6.72,7.39,7.71,6.51,6.0,7.36,6.34,5.35,6.0,5.72,5.81,6.06,6.55,5.37,6.0,5.98,6.57,6.15,6.833571428571429,432.0,518.0,11.0,2.0,16.0,13.0,0.0,12.0,10.0,26.0,59.6,6.077857142857139,316.0,397.0,2.0,1.0,6.0,1.0,0.0,21.0,7.0,13.0,44.6,0.0,0.0,0.0,2.9333333333333336,0,0,1,0,0,1,6.52,7.17,6.88,7.37,6.72,7.39,7.71,6.51,6.0,7.36,6.34,5.35,6.0,5.72,5.81,6.06,6.55,5.37,6.0,5.98,6.57,6.15
1190187,14,211,6.6464285714285705,167.0,263.0,0.0,3.0,3.0,4.0,0.0,17.0,12.0,31.0,30.0,6.30857142857143,130.0,213.0,2.0,2.0,2.0,3.0,0.0,10.0,6.0,18.0,21.8,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.72,5.97,6.17,7.19,6.07,7.36,6.8,6.84,6.56,8.23,7.35,6.24,5.78,6.51,6.76,6.71,6.3,6.4,6.02,6.76,5.95,6.03,6.6464285714285705,167.0,263.0,0.0,3.0,3.0,4.0,0.0,17.0,12.0,31.0,30.0,6.30857142857143,130.0,213.0,2.0,2.0,2.0,3.0,0.0,10.0,6.0,18.0,21.8,1.0,1.0,1.0,1.0,0,0,0,0,1,1,6.72,5.97,6.17,7.19,6.07,7.36,6.8,6.84,6.56,8.23,7.35,6.24,5.78,6.51,6.76,6.71,6.3,6.4,6.02,6.76,5.95,6.03
1190188,26,162,6.78,352.0,477.0,1.0,5.0,8.0,3.0,0.0,20.0,8.0,27.0,54.4,6.53615384615385,304.0,391.0,3.0,4.0,7.0,12.0,0.0,24.0,7.0,19.0,56.7,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,1,5.93,6.77,6.0,6.0,6.03,5.97,6.37,6.55,7.89,7.14,6.0,6.02,6.55,5.97,6.73,7.51,6.2,6.67,7.33,5.99,6.32,6.68,6.78,352.0,477.0,1.0,5.0,8.0,3.0,0.0,20.0,8.0,27.0,54.4,6.53615384615385,304.0,391.0,3.0,4.0,7.0,12.0,0.0,24.0,7.0,19.0,56.7,1.0,1.0,1.0,1.0,0,0,1,0,0,1,5.93,6.77,6.0,6.0,6.03,5.97,6.37,6.55,7.89,7.14,6.0,6.02,6.55,5.97,6.73,7.51,6.2,6.67,7.33,5.99,6.32,6.68
1190184,183,27,6.503571428571429,527.0,612.0,5.0,2.0,2.0,2.0,0.0,16.0,3.0,14.0,71.3,6.69142857142857,277.0,395.0,1.0,4.0,4.0,3.0,0.0,19.0,14.0,26.0,45.6,2.0,1.0,1.0,1.0,1.0,0,0,0,1,1,0,7.2,6.53,6.02,6.28,7.3,6.44,6.76,6.56,6.41,6.21,6.45,5.65,7.15,7.56,6.41,6.0,5.99,7.96,6.44,6.26,6.01,6.68,6.503571428571429,527.0,612.0,5.0,2.0,2.0,2.0,0.0,16.0,3.0,14.0,71.3,6.69142857142857,277.0,395.0,1.0,4.0,4.0,3.0,0.0,19.0,14.0,26.0,45.6,1.0,1.0,1.0,1.0,0,0,0,1,1,0,7.2,6.53,6.02,6.28,7.3,6.44,6.76,6.56,6.41,6.21,6.45,5.65,7.15,7.56,6.41,6.0,5.99,7.96,6.44,6.26,6.01,6.68
1190185,184,175,7.05230769230769,241.0,320.0,1.0,5.0,4.0,5.0,0.0,8.0,11.0,7.0,38.1,7.028571428571429,157.0,242.0,1.0,6.0,9.0,8.0,0.0,19.0,15.0,30.0,28.7,2.0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,6.74,7.55,7.06,7.72,6.88,6.37,6.66,7.98,6.7,7.27,9.0,7.06,7.94,7.73,6.88,8.85,6.29,6.0,7.08,7.45,7.41,6.52,7.05230769230769,241.0,320.0,1.0,5.0,4.0,5.0,0.0,8.0,11.0,7.0,38.1,7.028571428571429,157.0,242.0,1.0,6.0,9.0,8.0,0.0,19.0,15.0,30.0,28.7,1.0,1.0,1.0,1.0,1,1,0,0,0,0,6.74,7.55,7.06,7.72,6.88,6.37,6.66,7.98,6.7,7.27,9.0,7.06,7.94,7.73,6.88,8.85,6.29,6.0,7.08,7.45,7.41,6.52
1190190,96,13,6.606153846153849,211.0,292.0,2.0,1.0,6.0,7.0,0.0,18.0,10.0,27.0,38.4,7.3071428571428605,538.0,632.0,8.0,10.0,9.0,9.0,0.0,23.0,9.0,21.0,70.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,1,0,6.45,6.42,6.97,6.81,6.76,7.14,7.11,6.55,6.0,6.39,6.38,5.78,6.0,7.55,7.3,9.23,7.48,7.01,7.31,8.47,7.24,7.7,6.606153846153849,211.0,292.0,2.0,1.0,6.0,7.0,0.0,18.0,10.0,27.0,38.4,7.3071428571428605,538.0,632.0,8.0,10.0,9.0,9.0,0.0,23.0,9.0,21.0,70.0,1.0,1.0,1.0,1.0,0,1,0,0,1,0,6.45,6.42,6.97,6.81,6.76,7.14,7.11,6.55,6.0,6.39,6.38,5.78,6.0,7.55,7.3,9.23,7.48,7.01,7.31,8.47,7.24,7.7
1190186,166,23,7.233571428571429,199.0,306.0,0.0,6.0,3.0,9.0,0.0,28.0,19.0,30.0,43.3,6.281428571428571,157.0,245.0,0.0,2.0,4.0,5.0,0.0,12.0,6.0,26.0,26.9,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,7.98,7.22,7.39,7.1,7.12,7.05,7.26,8.23,5.9,7.3,8.81,6.51,6.44,6.67,6.29,6.37,6.32,6.27,6.15,6.6,5.84,6.25,7.233571428571429,199.0,306.0,0.0,6.0,3.0,9.0,0.0,28.0,19.0,30.0,43.3,6.281428571428571,157.0,245.0,0.0,2.0,4.0,5.0,0.0,12.0,6.0,26.0,26.9,1.0,1.0,1.0,1.0,1,0,0,0,0,1,7.98,7.22,7.39,7.1,7.12,7.05,7.26,8.23,5.9,7.3,8.81,6.51,6.44,6.67,6.29,6.37,6.32,6.27,6.15,6.6,5.84,6.25
1190209,30,15,7.217857142857139,628.0,702.0,7.0,6.0,5.0,7.0,0.0,16.0,10.0,26.0,73.1,6.3964285714285705,446.0,521.0,7.0,6.0,6.0,8.0,0.0,10.0,16.0,13.0,61.9,2.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,7.7,7.16,6.0,7.98,7.41,6.14,8.27,7.47,7.41,7.55,7.21,5.65,6.85,6.45,6.75,6.0,6.89,6.0,7.07,6.48,7.37,7.64,7.217857142857139,628.0,702.0,7.0,6.0,5.0,7.0,0.0,16.0,10.0,26.0,73.1,6.3964285714285705,446.0,521.0,7.0,6.0,6.0,8.0,0.0,10.0,16.0,13.0,61.9,1.0,1.0,1.0,1.0,1,0,0,0,0,1,7.7,7.16,6.0,7.98,7.41,6.14,8.27,7.47,7.41,7.55,7.21,5.65,6.85,6.45,6.75,6.0,6.89,6.0,7.07,6.48,7.37,7.64
1190189,167,31,6.9028571428571395,691.0,768.0,5.0,4.0,5.0,10.0,0.0,10.0,9.0,17.0,78.2,6.993571428571429,392.0,497.0,2.0,4.0,3.0,6.0,0.0,17.0,13.0,24.0,61.6,0.0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,6.64,7.16,7.46,6.83,6.24,8.3,7.02,7.18,7.22,6.76,7.37,7.5,7.29,7.12,7.69,5.98,6.0,6.54,7.63,7.67,7.17,7.85,6.9028571428571395,691.0,768.0,5.0,4.0,5.0,10.0,0.0,10.0,9.0,17.0,78.2,6.993571428571429,392.0,497.0,2.0,4.0,3.0,6.0,0.0,17.0,13.0,24.0,61.6,1.0,1.0,1.0,1.0,1,1,0,0,0,0,6.64,7.16,7.46,6.83,6.24,8.3,7.02,7.18,7.22,6.76,7.37,7.5,7.29,7.12,7.69,5.98,6.0,6.54,7.63,7.67,7.17,7.85
1190215,183,167,6.41714285714286,432.5,525.0,4.0,2.0,1.5,5.0,0.0,13.5,4.5,17.5,63.55,6.719642857142855,576.0,664.0,4.5,5.0,7.0,8.5,0.0,11.0,8.0,23.0,71.80000000000001,2.0,0.0,1.4285714285714286,1.4285714285714286,0.0,0,1,0,1,2,0,6.9350000000000005,6.325,6.0,6.915,6.51,6.35,6.34,6.0,6.715,5.985,6.1899999999999995,6.135,7.595000000000001,6.48,6.0,6.62,7.145,7.795,6.835,6.58,6.45,6.51,6.41714285714286,432.5,525.0,4.0,2.0,1.5,5.0,0.0,13.5,4.5,17.5,63.55,6.719642857142855,576.0,664.0,4.5,5.0,7.0,8.5,0.0,11.0,8.0,23.0,71.80000000000001,0.0,1.4285714285714286,1.4285714285714286,0.0,0,1,0,1,2,0,6.9350000000000005,6.325,6.0,6.915,6.51,6.35,6.34,6.0,6.715,5.985,6.1899999999999995,6.135,7.595000000000001,6.48,6.0,6.62,7.145,7.795,6.835,6.58,6.45,6.51
1190193,166,18,7.14214285714286,276.0,381.0,0.5,4.5,3.0,8.0,0.0,26.0,16.0,26.5,48.0,6.795357142857145,459.5,543.5,7.0,3.5,11.0,10.0,0.0,11.0,14.0,21.0,62.849999999999994,0.0,0.8076923076923077,0.0,1.0,1.0,2,1,0,1,0,0,7.925000000000001,7.0600000000000005,7.175,6.885,8.03,7.165,6.1,8.29,6.88,7.415,7.925000000000001,6.82,6.62,7.07,6.615,6.95,7.205,7.365,3.165,6.88,7.1850000000000005,6.925,7.14214285714286,276.0,381.0,0.5,4.5,3.0,8.0,0.0,26.0,16.0,26.5,48.0,6.795357142857145,459.5,543.5,7.0,3.5,11.0,10.0,0.0,11.0,14.0,21.0,62.849999999999994,0.8076923076923077,0.0,1.0,1.0,2,1,0,1,0,0,7.925000000000001,7.0600000000000005,7.175,6.885,8.03,7.165,6.1,8.29,6.88,7.415,7.925000000000001,6.82,6.62,7.07,6.615,6.95,7.205,7.365,3.165,6.88,7.1850000000000005,6.925
